RSU H Adam Malik	Jl. Lau interest N0. 17, Medan
RSU Dr. M.Jamil	Jl. Pioneer Independence Padang
RS National Stroke Bukittinggi	Jl. Jend Sudirman, Bukittinggi
RSU Dr. Mohammad Hoesin	JL Sudirman KM 3.5 Palembang
Leprosy Hospital Dr. Rival Abdullah	Jl. Ex Kundur river Mariana district. I Banyuasin
Fatmawati	Jl. RS Fatmawati Cilandak, South Jakarta
Drug Dependence Hospital Jakarta	Jl. Shooting No. 75 kel cibubur, Jaktim
Department of Friendship	Jl. Friendship Raya No. 1, East Jakarta
RS National Brain Center	Jl MT Haryono Kav 11 Cawang Urban Village, District Kramat Jati
RSU Dr. Cipto Mangunkusumo	Jl. Diponegoro 71, Central Jakarta
RSJ Dr Soeharto Heerjan Jakarta	Jl. Prof.Dr.Latumeten No. 1 Jakbar
Cancer Hospital Dharmais	Jl. S Parman Kav.84-86 Slipi, West Jakarta
RSAB Harapan Kita	Jl. Let.Jend. S Parman Kav. 87 Slipi Jakbar
RSJP Harapan Kita	Jl. S. Parman Kav 87, Slipi
RSPI Prof.Dr. Sulianti S.	Jl. New Sunter Permai Raya, North Jakarta
Lung Hospital Dr. Goenawan Partowidigdo Cisarua	Jl. Raya Puncak KM.83, Po Box 28, Cisarua, Bogor 16750
RSJ Dr. H. Marzoeki Mahdi	Jl. Dr. Sumeru 114 Bogor
Dr Hasan Sadikin Hospital	Jl. Pasteur 38 Bandung
Cicendo Eye Hospital	Jl. Cicendo 4 Bandung
Lung Hospital Dr. HA Rotinsulu Bandung	Jl. Bukit Jarian No. 40 Bandung
Dr Dr.Suraji Tirtonegoro Klaten	Jl. KRT. Dr. Soeradji Tirtonegoro 1, Klaten
RSJ. Prof.Dr. Soerojo Magelang	Jl. Gen. Ahmad Yani 169 Magelang
RSO Prof. Dr. R.Soeharso	Jl. Gen. Ahmad Yani Pabelan, Surakarta 57162
Lung Hospital Dr. Ario Wirawan Salatiga	Jl. Hasanuddin 806, Salatiga
RSU Dr. Kariadi	Jl. Dr. Soetomo 16, Semarang
Hospital Dr. Sarjito	Jl. Health 1 Sekip Yogyakarta
Psychiatric Hospital Dr. Radjiman Wediodiningrat	Jl. Jend. A. Yani Lawang district. Poor
Leprosy Hospital Sitanala	Jl. Dr Sitanala No. 99 Kota Tangerang
Sanglah Hospital	Jl. Diponegoro Denpasar Bali
