A. ZARATE GENERAL HOSPITAL	----->Pulanglupa, Las Piñas City
AFP MEDICAL CENTER	----->V. Luna Road, Quezon City
ABATAN EMERGENCY	----->HOSPITAL Abatan, Buguias, Benguet
ABELLA MIDWAY HOSPITAL	----->Valencia City, Bukidnon
ABORLAN MEDICARE HOSPITAL	----->Pob. Aborlan, Palawan
ABRA DE ILOG MUNICIPAL	----->HOSPITAL Abra de Ilog, Occidental Mindoro
ABRA PROVINCIAL HOSPITAL	----->Calaba, Bengued, Abra
ABULUG MUNICIPAL HOSPITAL	----->Centro Abulug, Cagayan Valley
ABUYOG DISTRICT HOSPITAL	----->Abuyog, Northern Leyte
ACAS CLINIC AND HOSPITAL	----->Vigan, Ilocos Sur
ACEBEDO GENERAL HOSPITAL	----->Bagbaguin, Caloocan City
ACOSTA CLINIC	----->Toril, Davao City
ADELA SERRA TY MEMORIAL	----->Tandag, Surigao del Sur
ADVENTIST UNIVERSITY	----->Silang,Cavite
AFABLE MEDICAL CENTER	----->EBB, Olongapo City
AGLIPAY DISTRICT HOSPITAL	----->Aglipay, Quirino
AGO GENERAL HOSPITAL	----->Rizal Street, Legaspi City
AGOO FAMILY HOSPITAL	----->San Pedro, Agoo, La Union
AGOO MEDICAL CLINIC	----->Agoo, La Union
AGPALO HOSPITAL	----->GUIUAN POLYMEDIC Guiuan, Eastern Samar
AGUINALDO PEOPLE'S	----->HOSPITAL Aguinaldo, Ifugao
AGUSAN DEL NORTE PROVINCIAL HOSPITAL	----->Libertad, Butuan City
AIR FORCE GENERAL HOSPITAL	----->Pasay City
AKLAN BAPTIST HOSPITAL, INC.	----->Caticlan, Malay, Aklan
AKLAN COOPERATIVE MISSION Hosp	----->Kalibo, Aklan
ALABA EMERGENCY hosp	----->Maco, Compostela Valley
ALABANG MEDICAL CENTER	----->Muntinlupa City
ALABANG MEDICAL CLINIC	----->Alabang, Muntinlupa City
ALABANG MEDICAL CLINIC -MUNTINLUPA BRANCH	----->No. 1 National Rd., Putatan Muntinlupa City
ALABANG MEDICAL CLINIC -	----->Talon, Las Piñas City
ALABAT ISLAND DISTRICT hosp	----->Alabat Island, Quezon
ALAMADA PROVINCIAL	----->Magsaysay, Alamada North Cotabato
ALAMINOS DOCTOR'S	----->Bolaney, Alaminos, Pangasinan
ALBAY DOCTOR'S HOSPITAL	----->Penaranda St., Legaspi City, Albay40
ALBINO DURAN MEMORIAL	----->Balangiga, Eastern Samar
ALBOR DISTRICT HOSPITAL	----->Libjo, Surigao del Norte
ALCALA MUNICIPAL HOSPITAL	----->Alcala, Cagayan Valley
ALEGRE MEDICAL CLINIC	----->Kapalong, Davao del Norte
ALEOSAN DISTRICT HOSPITAL	----->Aleosan, North Cotabato
ALEOSAN DISTRICT HOSPITAL	----->Alimodian, Iloilo City
ALFEROS HOSPITAL	----->Olongapo City
ALFONSO SPECIALISTS HOSPITAL	----->Pasig City
ALFONSO PONCE ENRILE	----->Gonzaga, Cagayan Valley
ALFREDO MARANON SR.	----->Brgy. Bato, Sagay City Negros Occidental
ALICIA DISTRICT HOSPITAL	----->Sibugay, Zamboanga
ALLEN DISTRICT HOSPITAL	----->Allen, Northern Samar
ALMORA GENERAL HOSPITAL	----->Balunao, Tabuk Kalinga, Apayao
ALTAVAS DISTRICT HOSPITAL	----->Altavas, Aklan
ALTERADO GENERAL HOSPITAL	----->R. Castillo St., Agdao Davao City
AMAI PAKPAK MEDICAL	----->CENTER Marawi City, Lanao del Sur
AMANG RODRIGUEZ MEDICAL CENTER	----->Sumulong Highway, Marikina City
AMIO COMMUNITY PRIMARY	----->HOSPITAL Sta. Catalina, Negros Oriental
AMISOLA MATERNITY HOSPITAL	----->1068 Hermosa Street, Tondo Manila
AMMA JADSAC DISTRICT	----->HOSPITAL Pudtol, Kalinga, Apayao
AMOIL CLINIC AND HOSPITAL	----->Brgy. J. C. Montilla, Tacurong Sultan Kudarat
AMOROSO MEDICAL CLINIC	----->Imelda, Zamboanga Sibugay
AMOSUP SEAMEN'S	----->HOSPITAL - CEBU Mandaue City, Cebu
AMOSUP SEAMEN'S	----->HOSPITAL - ILOILO Mandurriao, Iloilo City
ANAHAWAN DISTRICT HOSPITAL	----->Anahawan, Southern Leyte
ANDOT MEDICAL CLINIC	----->Bacolod, Lanao Del Norte
ANDRES SORIANO MEMORIAL	----->HOSPITAL COOPERATIVE Tabon, Bislig, Surigao del Sur
ANGEL SALAZAR MEMORIAL	----->GENERAL HOSPITAL Brgy. Atabay, San Jose Antique
ANGELES MEDICAL CENTER	----->Rizal St., Angeles City
ANGELES UNIVERSITY	----->FOUNDATION MEDICAL CENTER McArthur Hi-way Angeles City
ANGONO GENERAL HOSPITAL	----->Angono, Rizal
ANGONO MEDICS HOSPITAL	----->Angono, Rizal
ANICETO T. PESANTE SR.	----->MEMORIAL HOSPITAL Midsayap, North Cotabato
ANN FRANCIS MATERNITY HOSPITAL	----->606 Quirino Highway Novaliches, Quezon City
ANTEQUERA COMMUNITY	----->HOSPITAL Antequera, Bohol
ANTIPAS MEDICAL SPECIALIST	----->HOSPITAL, INC. (former CLINICA CATOTAL) Antipas, North Cotabato
ANTIPOLO CITY MEDICAL	----->HOSPITAL Sumulong Highway, Antipolo City
ANTIPOLO DISTRICT HOSPITAL	----->Bagong Nayon2, Antipolo City
ANTIPOLO DOCTORS HOSPITAL	----->Antipolo City
ANTONIO D. FLORENDO HOSPITAL	----->Tadeco, Panabo City Davao del Norte
ANULAO ST. M.ICHAEL MEDICAL	----->CLINIC & HOSPITAL Cabacan, North Cotabato
APACIBLE MEMORIAL	----->DISTRICT HOSPITAL Nasugbu, Batangas
APALIT DOCTORS HOSPITAL	----->Apalit, Pampanga
APARRI MEDICARE COMMUNITY	----->HOSPITAL Bangag, Aparri, Cagayan
APARRI PROVINCIAL HOSPITAL	----->Toran Aparri, Cagayan
APAYAO DISTRICT HOSPITAL	----->Calanasan, Mabubua, Apayao
APAYAO PROVINCIAL HOSPITAL	----->(formerly Kabugao District Hosp.) Kabugao, Kalinga, Apayao
AQUINAS UNIVERSITY HOSPITAL	----->Washington Drive, Legaspi City
ARAKAN VALLEY DISTRICT	----->HOSPITAL Arakan, North Cotabato
ARAYAT MEDICAL &	----->OB-GYNE CLINIC Brgy. Mangga, Cacutud Arayat, Pampanga
ARMY STATION HOSPITAL	----->(formerly Camp Capinpin Station Hospital) Brgy. Sampaloc Tanay, Rizal
ARNAIZ HOSPITAL	----->Cainta, Rizal
AROROY MUNICIPAL HOSPITAL	----->Aroroy, Masbate
ARSENAL "KALUSUGAN"	----->HOSPITAL Lamao, Limay, Bataan
ARTECHE DISTRICT HOSPITAL	----->Arteche, Eastern Samar
ARUELO GENERAL HOSPITAL	----->Tangub City, Misamis Occidental
ASANIAS POLYCLINIC	----->Sanchez Mira, Cagayan
ASIA MEDIC FAMILY HOSPITAL	----->AND MEDICAL CLINIC Dasmariñas, Cavite
ASIAH MEDICAL HOSPITAL	----->San Pedro Dist., Pagadian City
ASIAN HOSPITAL AND MEDICAL CENTER	----->MEDICAL CENTER 2205 Civic Drive, Centennial Lane Filinvest Corporate City Alabang, Muntinlupa City
ASILO HOSPITAL	----->Padada, Davao del Sur
ASINGAN MEDICARE &	----->COMMUNITY HOSPITAL Asingan, Pangasinan
ASSCOM - DLSUMC	----->FRIENDSHIP HOSPITAL San Juan, Apalit, Pampanga
ASSUMPTA MEDICAL HOSPITAL	----->Taal, Batangas
ATOK DISTRICT HOSPITAL	----->Sayangan, Atok, Benguet
AUGUIS CLINIC AND HOSPITAL	----->Gen. Santos City
AURORA GENERAL HOSPITAL	----->Aurora, Zamboanga del Sur
AURORA MEMORIAL HOSPITAL	----->Baler, Aurora
AZNAR MEDICAL CLINIC	----->Maramag, Bukidnon
BBCSS PEDIATRIC MEDICAL	----->& SURGICAL CLINIC Cauayan City, Isabela
BABAK COMMUNITY HOSPITAL	----->Babak, Davao del Norte
BABARAN-ECHAVEZ MEDICAL	----->AND PSYCHIATRIC CLINIC 1125 Amparo St., Poblacion Muntinlupa City
BABOL GENERAL HOSPITAL	----->Matalam, North Cotabato
BACNOTAN DISTRICT HOSPITAL	----->Bacnotan, La Union
BACOLOD ADVENTIST	----->MEDICAL CENTER Taculing, Bacolod City
BACOLOD OUR LADY OF MERCY SPECIALIST HOSPITAL	----->MERCY SPECIALTY HOSP. Eureco, Mandalagan Bacolod City, Negros Occidental
BACONAWA HOSPITAL	----->Rizal St., Llorente,Eastern Samar
BADIAN DISTRICT HOSPITAL	----->Badian, Cebu City
BAESA ADVENT POLYCLINIC	----->AND GENERAL HOSPITAL 238 Deparo St., Baesa Caloocan City
BAGAC MEDICARE & COMMUNITY HOSPITAL	----->Brgy. Atilano Ricardo, Bagac Bataan
BAGGAO MEDICARE	----->COMMUNITY HOSPITAL Baggao, Cagayan Valley
BAGGAO MUNICIPAL HOSPITAL	----->Tallang, Baggao, Cagayan
BAGO CITY HOSPITAL	----->Bago City, Negros Occidental
BAGONG CAINTA MUNICIPAL	----->HOSPITAL Sto. Domingo, Cainta Rizal
BAGTILAY ADULT SPECIALTY	----->CLINIC AND HOSPITAL San Isidro, Isabela
BAGUIO FILIPINO CHINESE	----->GENERAL HOSPITAL Trancoville, Baguio City
BAGUIO GENERAL HOSPITAL	----->& MEDICAL CENTER Gov. Park Rd., Baguio City
BAGUIO MEDICAL CENTER	----->9 Military Cut-off Road Baguio City
BAILAN DISTRICT HOSPITAL	----->Bailan, Pontevedra, Capiz
BAIS DISTRICT HOSPITAL	----->Bais City, Negros Oriental
BAKING MEDICAL CENTER	----->Minglanilla, Cebu City
BALAMBAN DISTRICT HOSPITAL	----->Balamban, Cebu
