input	country	location	status	place_id_count	place_id	description	place_id	lat	lng	international_phone_number	formatted_phone_number	name	rating	website	url	formatted_address	vicinity
103	vn	Vietnam	OK	5	ChIJIfcHVAsrdTER9Gg5nbqHxoE	103 Nguyễn Trung Trực, Ho Chi Minh City, Ho Chi Minh, Vietnam	ChIJIfcHVAsrdTER9Gg5nbqHxoE	10.8180495	106.5764529	-	-	196 Nguyễn Trung Trực	-	-	https://maps.google.com/?cid=9351310911852865780	ấp Tân Bình, xã Vĩnh Lộc A, Hồ Chí Minh, Long An, Vietnam	ấp Tân Bình
103	vn	Vietnam	OK	5	ChIJd63iW3WsNTERkJdyetNZdEI	Babiday Store 103 Bạch Mai - Hà Nội, Bạch Mai, Hanoi, Vietnam	ChIJd63iW3WsNTERkJdyetNZdEI	21.0070583	105.8513852	+84 98 185 27 28	098 185 27 28	Babiday Store 103 Bạch Mai - Hà Nội	4.5	http://babiday.com/	https://maps.google.com/?cid=4788551068628981648	103 Bạch Mai, Hai Bà Trưng, Hà Nội 100000, Vietnam	103 Bạch Mai, Hai Bà Trưng
103	vn	Vietnam	OK	5	ChIJrVxbkNc2dTER7ZTmvHVbudk	103, TT. Cần Giuộc, Long An Province, Vietnam	ChIJrVxbkNc2dTER7ZTmvHVbudk	10.6063982	106.6741991	-	-	103	-	-	https://maps.google.com/?cid=15688671338160362733	Lãnh Binh Thái, tt. Cần Giuộc, Cần Giuộc, Long An, Vietnam	Lãnh Binh Thái
103	vn	Vietnam	OK	5	ChIJrbVYfinJdTERldhLM9gnkNI	103 Lê Lợi, La Gi, Bình Thuận Province, Vietnam	ChIJrbVYfinJdTERldhLM9gnkNI	10.6886264	107.7575192	+84 62 3843 572	062 3843 572	103 Lê Lợi	-	-	https://maps.google.com/?cid=15172670954138228885	Lagi Thị Xã La Gi, Tân An, tx. La Gi, Bình Thuận, Vietnam	Lagi Thị Xã La Gi
105	vn	Vietnam	OK	5	ChIJ3xvzaiO2CjERimEHQmyG0Cg	105, Tân An, Long An Province, Vietnam	ChIJ3xvzaiO2CjERimEHQmyG0Cg	10.5340791	106.4124633	+84 91 860 07 32	091 860 07 32	105	-	-	https://maps.google.com/?cid=2940998356195303818	Nguyễn An Ninh, Phường 1 850000, Phường 3, Tp. Tân An, Long An 850000, Vietnam	Nguyễn An Ninh, Phường 1 850000
105	vn	Vietnam	OK	5	ChIJcdPlx1yrNTERVoVsZXj-DVw	Circle K 105 Chùa Láng, Chùa Láng, Hanoi, Vietnam	ChIJcdPlx1yrNTERVoVsZXj-DVw	21.0229639	105.8012116	-	-	Circle K 105 Chùa Láng	-	-	https://maps.google.com/?cid=6633237619237750102	105 Chùa Láng, Láng Thượng, Đống Đa, Hà Nội, Vietnam	105 Chùa Láng, Láng Thượng
105	vn	Vietnam	OK	5	ChIJeYNBBCQvdTERpHNDctI5XSo	105A Depament Store, Phường 4, Ho Chi Minh, Vietnam	ChIJeYNBBCQvdTERpHNDctI5XSo	10.7742209	106.6826588	+84 8 3835 5455	08 3835 5455	105A Depament Store	-	-	https://maps.google.com/?cid=3052659698450002852	105A Vuon Chuoi Street, Ward 4, District 3, Ho Chi Minh City, phường 4, Quận 3, Hồ Chí Minh, Vietnam	105A Vuon Chuoi Street, Ward 4, District 3, Ho Chi Minh City
108	vn	Vietnam	OK	5	ChIJTRZpdH6LpzERjtu0v7LEjeA	108 Tran Phu Bán Ngư Lưới Cụ Cho Tàu Đánh Cá, Trần Phú, Phu Quoc, Kien Giang, Vietnam	ChIJTRZpdH6LpzERjtu0v7LEjeA	10.2270703	103.9552955	+84 77 3846 308	077 3846 308	108 Tran Phu Bán Ngư Lưới Cụ Cho Tàu Đánh Cá	4	-	https://maps.google.com/?cid=16180805308211583886	Trần Phú, Khu 6, tt. Dương Đông, Tp. Phú Quốc, tỉnh Kiên Giang, Vietnam	Trần Phú, tt. Dương Đông, Thành phố Phú Quốc
108	vn	Vietnam	OK	5	ChIJaaxwlflNoDERTLK8TCpUUiI	108 Gia Hòa, Hai Bà Trưng, Sóc Trăng, Soc Trang, Vietnam	ChIJaaxwlflNoDERTLK8TCpUUiI	9.6034051	105.9743893	+84 79 3612 727	079 3612 727	108 Gia Hòa	5	http://giahoa108.com/	https://maps.google.com/?cid=2473131686032618060	22 Hai Bà Trưng, phường 1, Tp. Sóc Trăng, Sóc Trăng, Vietnam	22 Hai Bà Trưng, phường 1, Thành phố Sóc Trăng
108	vn	Vietnam	OK	5	ChIJb76rLO6rNTERNsWdbdIYfag	108 Military Central Hospital, Hanoi, Vietnam	ChIJb76rLO6rNTERNsWdbdIYfag	21.0171644	105.8607196	+84 93 207 63 27	093 207 63 27	108 Military Central Hospital	4.2	-	https://maps.google.com/?cid=12140887462521980214	1 Trần Thánh Tông, Bạch Đằng, Hai Bà Trưng, Hà Nội, Vietnam	1 Trần Thánh Tông
108	vn	Vietnam	OK	5	ChIJf-4ea_UudTER_ICR5pqYPaQ	1080buy.com Fashion Shop, Ho Chi Minh City, Vietnam	ChIJf-4ea_UudTER_ICR5pqYPaQ	10.7493661	106.654383	+84 91 846 17 55	091 846 17 55	1080buy.com Fashion Shop	-	-	https://maps.google.com/?cid=11834783186860212476	33A, Phan Van Khoe Street, Ward 13, District 5, phường 13, Quận 5, Hồ Chí Minh, Vietnam	33A, Phan Van Khoe Street, Ward 13, District 5, Hồ Chí Minh
50 Pansa Mahawachiralongkorn Hospital	th	Thailand	OK	1	ChIJYYoNab19FjERcD2J8kG1Ag8	50 Pansa Mahawachiralongkorn Hospital Rai Noi Ubon Ratchathani Thailand	ChIJYYoNab19FjERcD2J8kG1Ag8	15.2990175	104.905006	+66 45 319 300	045 319 300	50 Pansa Mahawachiralongkorn Hospital	4.1	http://www.50pansa.go.th/	https://maps.google.com/?cid=1081626155368922480	300 Yothathikan Ubon Ratchathani Ban Pla Duk Rd, Tambon Rai Noi, Amphoe Mueang Ubon Ratchathani, Chang Wat Ubon Ratchathani 34000, Thailand	300 Yothathikan Ubon Ratchathani Ban Pla Duk Road, Rai Noi, Mueang Ubon Ratchathani District
Amnatcharoen	th	Thailand	OK	5	ChIJ4X0-5O8iFjERFlp4e5bhJ1Q	Amnat Charoen School ถนนชยางกูร Bung Amnat Charoen Thailand	ChIJ4X0-5O8iFjERFlp4e5bhJ1Q	15.8721859	104.6247966	+66 45 511 959	045 511 959	Amnat Charoen School	4.6	http://home.anc.ac.th/	https://maps.google.com/?cid=6064063459710491158	212 ถนนชยางกูร Tambon Bung, Amphoe Mueang Amnat Charoen, Chang Wat Amnat Charoen 37000, Thailand	212 ถนนชยางกูร, Bung, Mueang Amnat Charoen District
Amnatcharoen	th	Thailand	OK	5	ChIJT6Ry8JEhFjERuPgdeRyagKE	Amnatcharoen Technical College Non Nam Thaeng Amnat Charoen Thailand	ChIJT6Ry8JEhFjERuPgdeRyagKE	15.947263	104.629132	+66 88 448 5363	088 448 5363	Amnatcharoen Technical College	4.2	http://www.ant.co.th/	https://maps.google.com/?cid=11637470884207130808	Non Nam Thaeng, Mueang Amnat Charoen District, Amnat Charoen 37000, Thailand	Mueang Amnat Charoen District
Amnatcharoen	th	Thailand	OK	5	ChIJWfuT408iFjERaOI_myMosWs	Amnat Charoen City Hall Non Nam Thaeng Amnat Charoen Thailand	ChIJWfuT408iFjERaOI_myMosWs	15.9014494	104.6228323	-	-	Amnat Charoen City Hall	4.4	-	https://maps.google.com/?cid=7760027766329696872	Non Nam Thaeng, Mueang Amnat Charoen District, Amnat Charoen 37000, Thailand	Mueang Amnat Charoen District
Amnatcharoen	th	Thailand	OK	5	ChIJiQgQ3E8iFjER8mxPN5aMQ6M	Amnat Charoen Immigration Office Non Nam Thaeng Amnat Charoen Thailand	ChIJiQgQ3E8iFjER8mxPN5aMQ6M	15.9015506	104.621871	+66 45 523 239	045 523 239	Amnat Charoen Immigration Office	4.5	-	https://maps.google.com/?cid=11764401228422802674	Non Nam Thaeng, Mueang Amnat Charoen District, Amnat Charoen 37000, Thailand	Non Nam Thaeng, Mueang Amnat Charoen District
Amnatcharoen	th	Thailand	OK	5	ChIJx5wH1usiFjERgV-I54KlMp0	Amnatcharoen OA & Telecom (1995) Ltd., P. Bung Amnat Charoen Thailand	ChIJx5wH1usiFjERgV-I54KlMp0	15.869544	104.629669	+66 45 511 699	045 511 699	Amnatcharoen OA & Telecom (1995) Ltd., P.	-	-	https://maps.google.com/?cid=11327297994439024513	167 Moo 9, Changkol Rd., Bung, Amnatcharoen, 37000 Thailand, ตำบล บุ่ง อำเภอเมืองอำนาจเจริญ อำนาจเจริญ 37000, Thailand	167 Moo 9, Changkol Rd., Bung, Amnatcharoen, 37000 Thailand
Angthong Hospital	th	Thailand	OK	1	ChIJY1vg0t0P4jARPw0Zpub6ddQ	Ang Thong Hospital Talat Luang Ang Thong Thailand	ChIJY1vg0t0P4jARPw0Zpub6ddQ	14.5851182	100.452088	+66 35 615 111	035 615 111	Ang Thong Hospital	3.6	http://ath.in.th/	https://maps.google.com/?cid=15309418376851950911	3 เทศบาล 6 ถนนเทศบาล 10 Bang Kaeo, Amphoe Mueang Ang Thong, Chang Wat Ang Thong 14000, Thailand	3 เทศบาล 6 ถนนเทศบาล 10, Bang Kaeo, Mueang Ang Thong District
Aranyaprathet Hospital	th	Thailand	OK	1	ChIJ5T7dsIsTGzER3W7FDkU8iQc	Aranyaprathet Hospital Aranyaprathet Sa Kaeo Thailand	ChIJ5T7dsIsTGzER3W7FDkU8iQc	13.6913272	102.5038211	+66 37 233 033	037 233 033	Aranya Prathet Post Office	2.9	-	https://maps.google.com/?cid=543031497373085405	4 สุวรรณศร สุวรรณศร Han Sai, Amphoe Aranyaprathet, Chang Wat Sa Kaeo 27120, Thailand	4 สุวรรณศร สุวรรณศร, Han Sai, Aranyaprathet District
Asia Royal Hospital	mm	Myanmar	OK	1	ChIJx7DP-z_rwTAROK3JYhnplMU	Asia Royal Hospital, Yangon, Myanmar (Burma)	ChIJx7DP-z_rwTAROK3JYhnplMU	16.7980114	96.1311134	+95 1 230 4999	01 230 4999	Asia Royal Hospital	4	http://asiaroyalhospital.com/	https://maps.google.com/?cid=14237260617265818936	Yangon, Myanmar (Burma)	Yangon
Aumpawa	th	Thailand	OK	5	ChIJC7jpBBrU4jARSbI8v0CPXq8	Amphawa Club Resort Ban Prok Samut Songkhram Thailand	ChIJC7jpBBrU4jARSbI8v0CPXq8	13.4246443	99.9699	+66 81 597 1888	081 597 1888	Amphawa Club Resort	3.5	-	https://maps.google.com/?cid=12636695112697295433	168, M. 11 , Tambol Banprok , A. Mueng, ตำบล บ้านปรก อำเภอ อัมพวา SM 75110, Thailand	168, M. 11 , Tambol Banprok , A. Mueng, อำเภอ อัมพวา
Aumpawa	th	Thailand	OK	5	ChIJDx66ZjDU4jARTmT8trxNlH0	Amphawa Police Station Amphawa Samut Songkhram Thailand	ChIJDx66ZjDU4jARTmT8trxNlH0	13.4244014	99.9566078	+66 34 752 526	034 752 526	Amphawa Police Station	4.6	http://www.ampava.police7.go.th/	https://maps.google.com/?cid=9048943024213353550	Amphawa, Amphawa District, Samut Songkhram 75110, Thailand	Amphawa District
Aumpawa	th	Thailand	OK	5	ChIJJRg_ezDU4jARdm3N1rmnR1Q	Amphawa Na Non Hotel & Spa Amphawa Thailand	ChIJJRg_ezDU4jARdm3N1rmnR1Q	13.4256859	99.9569305	+66 34 752 111	034 752 111	Amphawa Na Non Hotel & Spa	4.5	http://www.amphawananon.com/	https://maps.google.com/?cid=6073007039146978678	96 Prachaseth Road, Amphawa, Samut Songkhram Tambon Amphawa, Amphoe Amphawa, Chang Wat Samut Songkhram 75110, Thailand	96 Prachaseth Road, Amphawa, Samut Songkhram, Amphawa
Aumpawa	th	Thailand	OK	5	ChIJx034jivU4jAR7PgDgCry0EE	Amphawa River View (อัมพวาริเวอร์วิว) Amphawa Samut Songkhram Thailand	ChIJx034jivU4jAR7PgDgCry0EE	13.433467	99.950211	+66 86 329 9522	086 329 9522	Amphawa River View (อัมพวาริเวอร์วิว)	4.5	http://www.amphawariverview.com/	https://maps.google.com/?cid=4742556671971424492	44 moo 3 BangChang, ตำบล อัมพวา อำเภอ อัมพวา สมุทรสงคราม 75110, Thailand	44 moo 3 BangChang, ตำบล อัมพวา
Aung Yadanar Hospital	mm	Myanmar	OK	1	ChIJswAkijmTwTARD3V72V5RFqo	Aung Yadana Hospital, Yangon, Myanmar (Burma)	ChIJswAkijmTwTARD3V72V5RFqo	16.8324188	96.1794448	+95 1 855 1355	01 855 1355	Aung Yadana Hospital	4.2	http://www.aungyadana.com	https://maps.google.com/?cid=12256072903752905999	Yangon, Myanmar (Burma)	Yangon
B. Care Medical Center Hospital	th	Thailand	OK	1	ChIJbdQPz619HTERYOS3pvAI-NE	B.Care Medical Center Hospital Sai Mai Bangkok Thailand	ChIJbdQPz619HTERYOS3pvAI-NE	13.9434559	100.6244067	-	-	B.Care Medical Center Hospital	1	-	https://maps.google.com/?cid=15129852777833423968	29, Moo 6, Phaholyothin Rd., Sai Mai, Bangkok 10220, แขวง สายไหม เขต สายไหม กรุงเทพมหานคร 10210, Thailand	29, Moo 6, Phaholyothin Rd., Sai Mai, Bangkok 10220
BANGKOK GENERAL HOSPITAL	th	Thailand	OK	2	ChIJqQsWaQ6Z4jARCIhMPfNjRx8	General Hospital Products Bangkok Thailand	ChIJqQsWaQ6Z4jARCIhMPfNjRx8	13.7522	100.494	+66 2 158 0100	02 158 0100	General Hospital Products	-	-	https://maps.google.com/?cid=2253880034878851080	8 Gold Market Bldg 5 Floor Tessabansongkroh Road Lardyao Bangkok, แขวง พระบรมมหาราชวัง เขต พระนคร กรุงเทพมหานคร 10200, Thailand	8 Gold Market Bldg 5 Floor Tessabansongkroh Road Lardyao Bangkok
BANGKOK RATCHASIMA HOSPITAL	th	Thailand	OK	1	ChIJZWtp2qxMGTERg0SdnHVZb1c	Bangkok Hospital Ratchasima Nai Mueang Nakhon Ratchasima Thailand	ChIJZWtp2qxMGTERg0SdnHVZb1c	14.9818088	102.0725209	+66 44 429 999	044 429 999	Bangkok Hospital Ratchasima	4.1	http://www.bkh.co.th/	https://maps.google.com/?cid=6300352765388211331	1308/9 Thanon Mittraphap, Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand	1308/9 Thanon Mittraphap, Nai Mueang, Mueang Nakhon Ratchasima District
BANGKOK-HADYAI HOSPITAL	th	Thailand	OK	2	ChIJtVW16KopTTARy9DfujTj85o	Bangkok Hospital Hat Yai Phetkasem Soi 15 Hat Yai Songkhla Thailand	ChIJtVW16KopTTARy9DfujTj85o	7.0154462	100.4855272	+66 74 272 800	074 272 800	Bangkok Hospital Hat Yai	3.9	http://www.bangkokhatyai.com/	https://maps.google.com/?cid=11165517716794626251	75 Phetkasem Soi 15, Tambon Hat Yai, Amphoe Hat Yai, Chang Wat Songkhla 90110, Thailand	75 Phetkasem Soi 15, Hat Yai District
BANGKOK-SAMUI HOSPITAL	th	Thailand	OK	1	ChIJ2YB6-bzxVDARXWdZOo7EODs	Bangkok Samui Hospital Bo Put Surat Thani Thailand	ChIJ2YB6-bzxVDARXWdZOo7EODs	9.51472	100.050242	+66 77 429 500	077 429 500	Bangkok Hospital Samui	3.9	-	https://maps.google.com/?cid=4267376762076882781	57, Tambon Bo Put, Amphoe Ko Samui, Chang Wat Surat Thani 84320, Thailand	57, Ko Samui District
BANPHAEO HOSPITAL	th	Thailand	OK	1	ChIJP5xwwurE4jARD3eeO9loRVg	Ban Phaeo Hospital Ban Phaeo Samut Sakhon Thailand	ChIJP5xwwurE4jARD3eeO9loRVg	13.5904296	100.1047494	+66 34 419 555	034 419 555	Ban Phaeo Hospital	4.3	http://www.bphosp.or.th/	https://maps.google.com/?cid=6360605330948126479	Ban Phaeo, Ban Phaeo District, Samut Sakhon 74120, Thailand	Ban Phaeo District
