NAME OF HOSPITAL	LOCATION
Bangkok Metropolitan Administration General Hospital (Klang Hospital)	Bangkok
Bangkok Metropolitan Administration Lat Krabang Hospital	Bangkok
Bhumibol Adulyadej Hospital	Bangkok
Burachat Chaiyakorn Hospital	Bangkok
Central Correctional Hospital	Bangkok
Central Women's Correctional Institution Medical Centre	Bangkok
Fort Somdetchaophrayamahakasatsuek Hospital	Bangkok
Chulabhorn Hospital	Bangkok
Galaya Rajanakarindra Institute	Bangkok
Health Promotion Hospital, 1st Regional Health Promotion Center	Bangkok
Hospital for Tropical Diseases	Bangkok
Hospital of the Faculty of Dentistry, Chulalongkorn University	Bangkok
Institute of Dermatology	Bangkok
King Chulalongkorn Memorial Hospital	Bangkok
Lerdsin Hospital	Bangkok
Luang Pho Taweesak Hospital	Bangkok
Medical Correctional Institution	Bangkok
Metropolitan Electricity Authority Hospital	Bangkok
National Cancer Institute	Bangkok
Naval Bangkok Hospital	Bangkok
Naval Ordnance Hospital	Bangkok
Nopparat Rajathanee Hospital	Bangkok
Phramongkutklao Hospital	Bangkok
Police General Hospital	Bangkok
Prasarnmit Hospital	Bangkok
Prasat Neurological Institute	Bangkok
Priest Hospital	Bangkok
Queen Sirikit National Institute of Child Health	Bangkok
Rajanukul Institute	Bangkok
Rajavithi Hospital	Bangkok
Ramathibodi Hospital	Bangkok
Ratchaphiphat Hospital	Bangkok
Sirindhorn Hospital	Bangkok
Siriraj Hospital	Bangkok
Somdejprapinklao Hospital	Bangkok
Somdet Chaopraya Institute of Psychiatry	Bangkok
Taksin Hospital	Bangkok
Thai Red Cross Relief and Public Health Bureau	Bangkok
Thailand Tobacco Monopoly Hospital	Bangkok
Vajira Hospital	Bangkok
Veterans General Hospital	Bangkok
Wetchakarunrasm Hospital	Bangkok
Amnat Charoen Hospital	Amnat Charoen
Chanuman Hospital	Amnat Charoen
Hua Taphan Hospital	Amnat Charoen
Lue Amnat Hospital	Amnat Charoen
Pathum Ratchawongsa Hospital	Amnat Charoen
Phanat Nikhom Hospital	Amnat Charoen
Senangkhanikhom Hospital	Amnat Charoen
Ang Thong Hospital	Ang Thong
Chaiyo Hospital	Ang Thong
Pa Mok Hospital	Ang Thong
Pho Thong Hospital	Ang Thong
Sam Ko Hospital	Ang Thong
Sawaeng Ha Hospital	Ang Thong
Wiset Chai Chan Hospital	Ang Thong
Ayutthaya Hospital	Ayutthaya
Ban Phraek Hospital	Ayutthaya
Bang Ban Hospital	Ayutthaya
Bang Pahan Hospital	Ayutthaya
Bang Pa-in Hospital	Ayutthaya
Bang Sai Hospital	Ayutthaya
Bang Sai Hospital	Ayutthaya
Explosives Factory Division Medical Center	Ayutthaya
Lat Bua Luang Hospital	Ayutthaya
Maha Rat Hospital	Ayutthaya
Phachi Hospital	Ayutthaya
Phak Hai Hospital	Ayutthaya
Sena Hospital	Ayutthaya
Somdet Phra Sangkharat Hospital	Ayutthaya
Tha Ruea Hospital	Ayutthaya
Uthai Hospital	Ayutthaya
Wang Noi Hospital	Ayutthaya
Bueng Kan Hospital	Bueng Kan
Bueng Khong Lang Hospital	Bueng Kan
Bung Khla Hospital	Bueng Kan
Pak Khat Hospital	Bueng Kan
Phon Charoen Hospital	Bueng Kan
Seka Hospital	Bueng Kan
Si Wilai Hospital	Bueng Kan
So Phisai Hospital	Bueng Kan
Ban Kruat Hospital	Buriram
Ban Mai Chaiyaphot Hospital	Buriram
Buriram Hospital	Buriram
Chaloem Phrakiat Hospital	Buriram
Chamni Hospital	Buriram
Fort Somdetchaophrayamahakasatsuek Hospital	Buriram
Huai Rat Hospital	Buriram
Khaen Dong Hospital	Buriram
Khu Mueang Hospital	Buriram
Krasang Hospital	Buriram
Lahan Sai Hospital	Buriram
Lam Plai Mat Hospital	Buriram
Nang Rong Hospital	Buriram
Non Din Daeng Hospital	Buriram
Non Suwan Hospital	Buriram
Nong Hong Hospital	Buriram
Nong Ki Hospital	Buriram
Pakham Hospital	Buriram
Phlapphla Chai Hospital	Buriram
Phutthaisong Hospital	Buriram
Prakhon Chai Hospital	Buriram
Satuek Hospital	Buriram
Ban Pho Hospital	Chachoengsao
Bang Khla Hospital	Chachoengsao
Bang Nam Priao Hospital	Chachoengsao
Bang Pakong Hospital	Chachoengsao
Chachoengsao Hospital	Chachoengsao
Phanom Sarakham Hospital	Chachoengsao
Plaeng Yao Hospital	Chachoengsao
Ratchasan Hospital	Chachoengsao
Sanam Chai Khet Hospital	Chachoengsao
Tha Takiap Hospital	Chachoengsao
Chainat Hospital	Chainat
Han Kha Hospital	Chainat
Manorom Hospital	Chainat
Sankhaburi Hospital	Chainat
Sapphaya Hospital	Chainat
Wat Sing Hospital	Chainat
Bamnet Narong Hospital	Chaiyaphum
Ban Khwao Hospital	Chaiyaphum
Ban Thaen Hospital	Chaiyaphum
Chaiyaphum Hospital	Chaiyaphum
Chatturat Hospital	Chaiyaphum
Kaeng Khro Hospital	Chaiyaphum
Kaset Sombun Hospital	Chaiyaphum
Khon San Hospital	Chaiyaphum
Khon Sawan Hospital	Chaiyaphum
Noen Sa-nga Hospital	Chaiyaphum
Nong Bua Daeng Hospital	Chaiyaphum
Nong Bua Rawae Hospital	Chaiyaphum
Phakdi Chumphon Hospital	Chaiyaphum
Phu Khiao Hospital	Chaiyaphum
Thep Sathit Hospital	Chaiyaphum
Kaeng Hang Maeo Hospital	Chanthaburi
Khao Khitchakut Hospital	Chanthaburi
khao Sukim Hospital	Chanthaburi
Khlung Hospital	Chanthaburi
Laem Sing Hospital	Chanthaburi
Makham Hospital	Chanthaburi
Na Yai Am Hospital	Chanthaburi
Phrapokklao Hospital	Chanthaburi
Pong Nam Ron Hospital	Chanthaburi
Soi Dao Hospital	Chanthaburi
Song Phi Nong Hospital	Chanthaburi
Tha Mai Hospital	Chanthaburi
Chai Prakan Hospital	Chiang Mai
Chiang Dao Hospital	Chiang Mai
Chiang Mai Municipality Hospital	Chiang Mai
